Month | Loan | Interest | Loan with interest | Left to pay
1  |  67.64  |   8.33   |  75.97    | 932.36
2  |  68.2  |   7.77   |  75.97    | 864.16
3  |  68.77  |   7.2   |  75.97    | 795.39
4  |  69.34  |   6.63   |  75.97    | 726.05
5  |  69.92  |   6.05   |  75.97    | 656.13
6  |  70.5  |   5.47   |  75.97    | 585.63
7  |  71.09  |   4.88   |  75.97    | 514.54
8  |  71.68  |   4.29   |  75.97    | 442.86
9  |  72.28  |   3.69   |  75.97    | 370.58
10  |  72.88  |   3.09   |  75.97    | 297.7
11  |  73.49  |   2.48   |  75.97    | 224.21
12  |  74.1  |   1.87   |  75.97    | 150.11
13  |  74.72  |   1.25   |  75.97    | 75.39
14  |  75.34  |   0.63   |  75.97    | 0.05
1063.63  |  999.95  |   63.63   |  1063.58    | 0.0
